palette1,palette2,palette3,palette4,palette5,palette6,palette7,palette8,palette9,palette10,palette11,palette12,palette13,palette14,palette15
#3E5496,#AAC5E2,#E41A1C,#3A3C7B,#DBD597,#C71585,#FF6B3B,#025DF4,#FF4500,#023FA5,#5B8FF9,#5B8FF9,#FF6B3B,#025DF4,#FF4500
#8290BB,#FFC592,#377EB8,#9C9CCD,#DB74B7,#619C60,#626681,#DB6BCF,#1AAF8B,#7D87B9,#61DDAA,#CDDDFD,#626681,#DB6BCF,#1AAF8B
#008ECE,#A4D99D,#4DAF4A,#657A38,#D0A5F8,#C2BB82,#FFC100,#2498D1,#406C85,#BEC1D4,#65789B,#61DDAA,#FFC100,#2498D1,#406C85
#59C7EB,#F4A39E,#984EA3,#B3CD6B,#A56DAD,#807557,#9FB40F,#BBBDE6,#F6BD16,#D6BCC0,#F6BD16,#CDF3E4,#9FB40F,#BBBDE6,#F6BD16
#077187,#CCB7DC,#FF7F00,#CDDA9D,#FFF59B,#827141,#76523B,#4045B2,#B40F0F,#BB7784,#7262fd,#65789B,#76523B,#4045B2,#B40F0F
#0A9086,#CBAEA8,#A65628,#8C6D30,#C35338,#7673AE,#DAD5B5,#21A97A,#2FB8FC,#8E063B,#78D3F8,#CED4DE,#DAD5B5,#21A97A,#2FB8FC
#54BFB7,#F4C0DF,#F781BF,#BC9C37,#A06AF7,#7A7750,#0E8E89,#FF745A,#4435FF,#4A6FE3,#9661BC,#F6BD16,#0E8E89,#FF745A,#4435FF
#8E2043,#C7C7C7,#999999,#E6B84F,#1C86EE,#DBD597,#E19348,#007E99,#FF5CA2,#8595E1,#F6903D,#FCEBB9,#E19348,#007E99,#FF5CA2
#BC7A8F,#E1E09E,#66C2A5,#E8CB92,#EACF68,#4D6D7A,#F383A2,#FFA8A8,#BBE800,#B5BBE3,#008685,#7262fd,#F383A2,#FFA8A8,#BBE800
#E0607E,,#FC8D62,#853D3B,#4A6DCB,#74B5CF,#247FEA,#2391FF,#FE8A26,#E6AFB9,#F08BB4,#D3CEFD,#247FEA,#2391FF,#FE8A26
#ECA0B2,,#8DA0CB,#D6606C,#538BE9,#66CEF6,#2BCB95,#FFC328,#946DFF,#E07B91,,#78D3F8,#2BCB95,#FFC328,#946DFF
#FEA090,,#E78AC3,#E6969C,#F3746C,#CBEBF6,#B1ABF4,#A0DC2C,#6C3E00,#D33F6A,,#D3EEF9,#B1ABF4,#A0DC2C,#6C3E00
#FECFC7,,#A6D854,#7D4375,,#D5E7F7,#1D42C2,#946DFF,#6193FF,#11C638,,#9661BC,#1D42C2,#946DFF,#6193FF
#B8BCC1,,#FFD92F,#A75294,,#69B4CE,#1D9ED1,#626681,#FF988E,#8CD592,,#DECFEA,#1D9ED1,#626681,#FF988E
,,#E5C494,#D79EC7,,#CA9600,#D64BC0,#EB4185,#36BCCB,#C6DEC7,,#F6903D,#D64BC0,#EB4185,#36BCCB
,,#B3B3B3,#C470AD,,#CA7F00,#255634,#CD8150,#004988,#EAD3C6,,#FFE0C7,#255634,#CD8150,#004988
,,#8DD3C7,#3181BD,,#9E6BAB,#8C8C47,#36BCCB,#FFCF9D,#F0B98D,,#008685,#8C8C47,#36BCCB,#FFCF9D
,,#BEBADA,#6AACD5,,#EF5276,#8CDAE5,#327039,#CCDC8A,#EF9708,,#BBDEDE,#8CDAE5,#327039,#CCDC8A
,,#FB8072,#E45925,,#D694C5,#8E283B,#803488,#8D00A1,#0FCFC0,,#F08BB4,#8E283B,#803488,#8D00A1
,,#80B1D3,#F68C42,,#D7A9CB,#791DC9,#83BC99,#1CC25E,#9CDED6,,#FFE0ED,#791DC9,#83BC99,#1CC25E
,,#FDB462,#33A253,,#8077ED,,,,#D5EAE7,,,,,
,,#B3DE69,#A2D39A,,#AAA4ED,,,,#F3E1EB,,,,,
,,#FCCDE5,,,#D6D4EB,,,,#F6C4E1,,,,,
,,#D9D9D9,,,#992C73,,,,,,,,,
,,#BC80BD,,,#DB74B7,,,,,,,,,
,,#CCEBC5,,,#DC4AA8,,,,,,,,,
,,#FFED6F,,,#FFE4B5,,,,,,,,,
,,,,,#F3746C,,,,,,,,,
,,,,,#ECAFCF,,,,,,,,,
,,,,,#22B4FB,,,,,,,,,
,,,,,#CAA57D,,,,,,,,,
,,,,,#1C86EE,,,,,,,,,
,,,,,#E18772,,,,,,,,,
,,,,,#3955A1,,,,,,,,,
,,,,,#FFF59B,,,,,,,,,
,,,,,#C46DA0,,,,,,,,,
,,,,,#8900C1,,,,,,,,,
,,,,,#FD5312,,,,,,,,,
,,,,,#EAA86C,,,,,,,,,
,,,,,#A56DAD,,,,,,,,,
,,,,,#538BE9,,,,,,,,,
,,,,,#F7DDD4,,,,,,,,,
,,,,,#DEEAB1,,,,,,,,,
,,,,,#63B472,,,,,,,,,
,,,,,#EAA944,,,,,,,,,
,,,,,#C35338,,,,,,,,,
,,,,,#F6C985,,,,,,,,,
,,,,,#6C16F7,,,,,,,,,
,,,,,#8E4DF7,,,,,,,,,
,,,,,#A06AF7,,,,,,,,,
,,,,,#B68CFA,,,,,,,,,
,,,,,#EBDBE4,,,,,,,,,
,,,,,#EACF68,,,,,,,,,
,,,,,#4A6DCB,,,,,,,,,
,,,,,#F584ED,,,,,,,,,
,,,,,#E67CC3,,,,,,,,,
,,,,,#D0A5F8,,,,,,,,,
,,,,,#EEB3EA,,,,,,,,,
